function, , time (ms), max (ms), num
"com/fasterxml/jackson/databind/util/ClassUtil.nameOf:(Ljava/lang/Class;)Ljava/lang/String;", "all", 30, 8, 15
"com/fasterxml/jackson/databind/util/LRUMap.<init>:(II)V", "all", 30, 14, 3
"com/fasterxml/jackson/databind/introspect/BasicClassIntrospector.forDeserializationWithBuilder:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/ClassIntrospector$MixInResolver;Lcom/fasterxml/jackson/databind/BeanDescription;)Lcom/fasterxml/jackson/databind/introspect/BasicBeanDescription;", "all", 29, 29, 1
"com/fasterxml/jackson/databind/BeanDescription.getBeanClass:()Ljava/lang/Class;", "all", 29, 7, 11
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._getterPriority:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedMethod;)I", "all", 29, 10, 6
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.createCollectionDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/type/CollectionType;Lcom/fasterxml/jackson/databind/BeanDescription;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 29, 17, 4
"com/fasterxml/jackson/databind/introspect/AnnotatedCreatorCollector.collectAnnotations:(Lcom/fasterxml/jackson/databind/util/ClassUtil$Ctor;Lcom/fasterxml/jackson/databind/util/ClassUtil$Ctor;)Lcom/fasterxml/jackson/databind/introspect/AnnotationMap;", "all", 29, 10, 3
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.findDeserializerFromAnnotation:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/introspect/Annotated;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 29, 7, 8
"com/fasterxml/jackson/databind/ObjectMapper._readMapAndClose:(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/JavaType;)Ljava/lang/Object;", "all", 29, 28, 2
"com/fasterxml/jackson/databind/ObjectMapper$1.addValueInstantiators:(Lcom/fasterxml/jackson/databind/deser/ValueInstantiators;)V", "all", 29, 29, 1
"com/fasterxml/jackson/databind/util/LRUMap.get:(Ljava/lang/Object;)Ljava/lang/Object;", "all", 28, 13, 3
"com/fasterxml/jackson/databind/DeserializationContext.reportBadTypeDefinition:(Lcom/fasterxml/jackson/databind/BeanDescription;Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/Object;", "all", 28, 8, 28
"com/fasterxml/jackson/databind/util/ClassUtil.checkAndFixAccess:(Ljava/lang/reflect/Member;Z)V", "all", 28, 10, 11
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.mapAbstractType:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 28, 16, 6
"com/fasterxml/jackson/databind/deser/BeanDeserializerFactory.addObjectIdReader:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/deser/BeanDeserializerBuilder;)V", "all", 28, 12, 4
"com/fasterxml/jackson/databind/introspect/BasicClassIntrospector._findStdJdkCollectionDesc:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/introspect/BasicBeanDescription;", "all", 28, 18, 2
"com/fasterxml/jackson/databind/ObjectMapper._findRootDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 28, 13, 4
"com/fasterxml/jackson/databind/module/SimpleModule.setupModule:(Lcom/fasterxml/jackson/databind/Module$SetupContext;)V", "all", 28, 28, 1
"com/fasterxml/jackson/databind/ObjectMapper.registerModule:(Lcom/fasterxml/jackson/databind/Module;)Lcom/fasterxml/jackson/databind/ObjectMapper;", "all", 28, 11, 4
"java/lang/reflect/Array.newInstance:(Ljava/lang/Class;I)Ljava/lang/Object;", "all", 27, 20, 6
"com/fasterxml/jackson/databind/JavaType.isAbstract:()Z", "all", 27, 13, 4
"com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector._property:(Ljava/util/Map;Ljava/lang/String;)Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder;", "all", 27, 9, 5
"com/fasterxml/jackson/databind/introspect/CollectorBase.collectDefaultAnnotations:(Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;[Ljava/lang/annotation/Annotation;)Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;", "all", 27, 6, 8
"com/fasterxml/jackson/databind/deser/std/ContainerDeserializerBase.<init>:(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/deser/NullValueProvider;Ljava/lang/Boolean;)V", "all", 27, 8, 6
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._anyIgnorals:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)Z", "all", 27, 9, 4
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._anyExplicitNames:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)Z", "all", 27, 8, 4
"com/fasterxml/jackson/databind/type/TypeFactory._resolveSuperClass:(Lcom/fasterxml/jackson/databind/type/ClassStack;Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 26, 26, 1
"com/fasterxml/jackson/databind/cfg/MapperConfigBase.without:([Lcom/fasterxml/jackson/databind/MapperFeature;)Lcom/fasterxml/jackson/databind/cfg/MapperConfigBase;", "all", 26, 13, 2
"com/fasterxml/jackson/databind/util/ClassUtil.isEnumType:(Ljava/lang/Class;)Z", "all", 26, 21, 4
"java/util/Collection.isEmpty:()Z", "all", 26, 12, 15
"com/fasterxml/jackson/databind/deser/BeanDeserializerBuilder.build:()Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 26, 12, 4
"com/fasterxml/jackson/databind/type/CollectionLikeType.getContentType:()Lcom/fasterxml/jackson/databind/JavaType;", "all", 26, 25, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.withName:(Lcom/fasterxml/jackson/databind/PropertyName;)Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder;", "all", 26, 11, 4
"com/fasterxml/jackson/databind/introspect/CollectorBase.collectAnnotations:([Ljava/lang/annotation/Annotation;)Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;", "all", 26, 5, 6
"com/fasterxml/jackson/databind/deser/impl/CreatorCandidate.propertyDef:(I)Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;", "all", 25, 3, 13
"com/fasterxml/jackson/databind/deser/BeanDeserializerFactory.isIgnorableType:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;Ljava/lang/Class;Ljava/util/Map;)Z", "all", 25, 17, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.getJsonValueAccessor:()Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;", "all", 25, 25, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedClassResolver._addClassMixIns:(Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;Ljava/lang/Class;Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;", "all", 25, 9, 4
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.getClassAnnotations:()Lcom/fasterxml/jackson/databind/util/Annotations;", "all", 25, 12, 7
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._findRemappedType:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 25, 12, 4
"com/fasterxml/jackson/databind/util/ClassUtil.exceptionMessage:(Ljava/lang/Throwable;)Ljava/lang/String;", "all", 25, 17, 6
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.addProperty:(Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;)Z", "all", 25, 15, 2
"java/util/HashSet.add:(Ljava/lang/Object;)Z", "all", 25, 11, 8
"com/fasterxml/jackson/databind/deser/BeanDeserializerFactory.constructSetterlessProperty:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;)Lcom/fasterxml/jackson/databind/deser/SettableBeanProperty;", "all", 25, 6, 6
"com/fasterxml/jackson/databind/introspect/VisibilityChecker$Std.<init>:(Lcom/fasterxml/jackson/annotation/JsonAutoDetect$Visibility;Lcom/fasterxml/jackson/annotation/JsonAutoDetect$Visibility;Lcom/fasterxml/jackson/annotation/JsonAutoDetect$Visibility;Lcom/fasterxml/jackson/annotation/JsonAutoDetect$Visibility;Lcom/fasterxml/jackson/annotation/JsonAutoDetect$Visibility;)V", "all", 25, 7, 6
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.findProperties:()Ljava/util/List;", "all", 25, 16, 2
"java/util/Collections.emptySet:()Ljava/util/Set;", "all", 25, 13, 5
"com/fasterxml/jackson/databind/deser/impl/CreatorCandidate.paramName:(I)Lcom/fasterxml/jackson/databind/PropertyName;", "all", 25, 5, 8
"sf_cond_range", "all", 25, 8, 5
"com/fasterxml/jackson/databind/cfg/DeserializerFactoryConfig.<init>:([Lcom/fasterxml/jackson/databind/deser/Deserializers;[Lcom/fasterxml/jackson/databind/deser/KeyDeserializers;[Lcom/fasterxml/jackson/databind/deser/BeanDeserializerModifier;[Lcom/fasterxml/jackson/databind/AbstractTypeResolver;[Lcom/fasterxml/jackson/databind/deser/ValueInstantiators;)V", "all", 24, 5, 5
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.findJsonValueAccessor:()Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;", "all", 24, 16, 2
"java/lang/String.endsWith:(Ljava/lang/String;)Z", "all", 24, 6, 8
"com/fasterxml/jackson/databind/JavaType.getTypeHandler:()Ljava/lang/Object;", "all", 24, 5, 14
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.findExplicitNames:()Ljava/util/Set;", "all", 24, 14, 3
"com/fasterxml/jackson/databind/BeanDescription.getType:()Lcom/fasterxml/jackson/databind/JavaType;", "all", 24, 3, 18
"com/fasterxml/jackson/databind/cfg/DeserializerFactoryConfig.deserializerModifiers:()Ljava/lang/Iterable;", "all", 24, 1, 17
"com/fasterxml/jackson/databind/cfg/DeserializerFactoryConfig.deserializers:()Ljava/lang/Iterable;", "all", 24, 5, 9
"com/fasterxml/jackson/databind/cfg/MapperConfigBase.getDefaultVisibilityChecker:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass;)Lcom/fasterxml/jackson/databind/introspect/VisibilityChecker;", "all", 24, 15, 2
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._hasCreatorAnnotation:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/introspect/Annotated;)Z", "all", 24, 4, 7
"com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.<init>:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;ZLcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass;Lcom/fasterxml/jackson/databind/introspect/AccessorNamingStrategy;)V", "all", 24, 24, 1
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.findExpectedFormat:(Lcom/fasterxml/jackson/annotation/JsonFormat$Value;)Lcom/fasterxml/jackson/annotation/JsonFormat$Value;", "all", 24, 11, 4
"com/fasterxml/jackson/databind/introspect/AnnotatedField.getDeclaringClass:()Ljava/lang/Class;", "all", 24, 11, 6
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._removeIgnored:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;", "all", 24, 10, 4
"java/lang/Class.getSuperclass:()Ljava/lang/Class;", "all", 23, 14, 10
"com/fasterxml/jackson/databind/deser/BeanDeserializerBuilder.createBuilderBasedDeserializer:(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/deser/impl/BeanPropertyMap;Z)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 23, 23, 1
"com/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap.put:(Ljava/lang/Object;Ljava/lang/Object;Z)Ljava/lang/Object;", "all", 23, 15, 2
"sf_get_some_Object", "all", 23, 3, 43
"com/fasterxml/jackson/databind/deser/BeanDeserializerFactory.buildBuilderBasedDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/BeanDescription;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 23, 22, 2
"com/fasterxml/jackson/databind/deser/BeanDeserializerFactory.buildBeanDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/BeanDescription;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 23, 11, 4
"com/fasterxml/jackson/databind/deser/BeanDeserializerBuilder._findCaseInsensitivity:()Z", "all", 23, 15, 2
"com/fasterxml/jackson/databind/util/RootNameLookup.findRootName:(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/cfg/MapperConfig;)Lcom/fasterxml/jackson/databind/PropertyName;", "all", 23, 23, 1
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._findCustomCollectionLikeDeserializer:(Lcom/fasterxml/jackson/databind/type/CollectionLikeType;Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;Lcom/fasterxml/jackson/databind/JsonDeserializer;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 23, 22, 2
"com/fasterxml/jackson/databind/introspect/DefaultAccessorNamingStrategy.<init>:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lcom/fasterxml/jackson/databind/introspect/DefaultAccessorNamingStrategy$BaseNameValidator;)V", "all", 23, 13, 3
"com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector._property:(Ljava/util/Map;Lcom/fasterxml/jackson/databind/PropertyName;)Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder;", "all", 23, 23, 1
"java/util/List.remove:(I)Ljava/lang/Object;", "all", 23, 5, 10
"com/fasterxml/jackson/databind/deser/std/StdScalarDeserializer.<init>:(Ljava/lang/Class;)V", "all", 23, 9, 10
"java/lang/StringBuilder.append:(C)Ljava/lang/StringBuilder;", "all", 22, 6, 8
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.forDeserialization:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertiesCollector;)Lcom/fasterxml/jackson/databind/introspect/BasicBeanDescription;", "all", 22, 11, 3
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.getConstructors:()Ljava/util/List;", "all", 22, 12, 3
"com/fasterxml/jackson/databind/introspect/MethodGenericTypeResolver.pessimisticallyValidateBounds:(Lcom/fasterxml/jackson/databind/introspect/TypeResolutionContext;Lcom/fasterxml/jackson/databind/JavaType;[Ljava/lang/reflect/Type;)Z", "all", 22, 10, 3
"com/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap.afterRead:(Lcom/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap$Node;)V", "all", 22, 7, 3
"com/fasterxml/jackson/databind/jdk14/JDK14Util$CreatorLocator.<init>:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;)V", "all", 22, 22, 1
"com/fasterxml/jackson/databind/introspect/BasicClassIntrospector.collectPropertiesWithBuilder:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/ClassIntrospector$MixInResolver;Lcom/fasterxml/jackson/databind/BeanDescription;Z)Lcom/fasterxml/jackson/databind/introspect/POJOPropertiesCollector;", "all", 22, 22, 1
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._addImplicitConstructorCreators:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/deser/BasicDeserializerFactory$CreatorCollectionState;Ljava/util/List;)V", "all", 22, 19, 2
"java/util/Map.values:()Ljava/util/Collection;", "all", 22, 7, 12
"com/fasterxml/jackson/databind/PropertyMetadata.<init>:(Ljava/lang/Boolean;Ljava/lang/String;Ljava/lang/Integer;Ljava/lang/String;Lcom/fasterxml/jackson/databind/PropertyMetadata$MergeInfo;Lcom/fasterxml/jackson/annotation/Nulls;Lcom/fasterxml/jackson/annotation/Nulls;)V", "all", 22, 6, 4
"com/fasterxml/jackson/databind/deser/impl/ObjectIdValueProperty.<init>:(Lcom/fasterxml/jackson/databind/deser/impl/ObjectIdReader;Lcom/fasterxml/jackson/databind/PropertyMetadata;)V", "all", 22, 15, 2
"com/fasterxml/jackson/databind/type/MapType.construct:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;Lcom/fasterxml/jackson/databind/JavaType;[Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/type/MapType;", "all", 22, 11, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.<init>:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/AnnotationIntrospector;ZLcom/fasterxml/jackson/databind/PropertyName;Lcom/fasterxml/jackson/databind/PropertyName;)V", "all", 22, 9, 4
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._findParamName:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedParameter;Lcom/fasterxml/jackson/databind/AnnotationIntrospector;)Lcom/fasterxml/jackson/databind/PropertyName;", "all", 22, 4, 6
"com/fasterxml/jackson/databind/introspect/AnnotatedClassResolver._addSuperInterfaces:(Lcom/fasterxml/jackson/databind/JavaType;Ljava/util/List;Z)V", "all", 21, 9, 5
"com/fasterxml/jackson/databind/util/ClassUtil.isObjectOrPrimitive:(Ljava/lang/Class;)Z", "all", 21, 12, 4
"sf_transfer_tainted", "all", 21, 12, 39
"com/fasterxml/jackson/databind/deser/impl/BeanPropertyMap.getPropertyName:(Lcom/fasterxml/jackson/databind/deser/SettableBeanProperty;)Ljava/lang/String;", "all", 21, 13, 3
"com/fasterxml/jackson/databind/cfg/MapperConfig.introspectClassAnnotations:(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/BeanDescription;", "all", 21, 5, 4
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.getClassInfo:()Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass;", "all", 21, 1, 17
"com/fasterxml/jackson/databind/introspect/AnnotatedAndMetadata.of:(Lcom/fasterxml/jackson/databind/introspect/Annotated;Ljava/lang/Object;)Lcom/fasterxml/jackson/databind/introspect/AnnotatedAndMetadata;", "all", 21, 13, 5
"com/fasterxml/jackson/databind/type/TypeBindings.create:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/type/TypeBindings;", "all", 21, 15, 2
"com/fasterxml/jackson/databind/introspect/AnnotatedClass.getFactoryMethods:()Ljava/util/List;", "all", 20, 10, 3
"java/util/List.set:(ILjava/lang/Object;)Ljava/lang/Object;", "all", 20, 7, 9
"com/fasterxml/jackson/databind/DeserializationContext.reportBadDefinition:(Lcom/fasterxml/jackson/databind/JavaType;Ljava/lang/String;)Ljava/lang/Object;", "all", 20, 8, 22
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.findKeyDeserializerFromAnnotation:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/introspect/Annotated;)Lcom/fasterxml/jackson/databind/KeyDeserializer;", "all", 20, 7, 6
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.getInternalName:()Ljava/lang/String;", "all", 20, 4, 7
"com/fasterxml/jackson/databind/deser/impl/CreatorCollector.constructValueInstantiator:(Lcom/fasterxml/jackson/databind/DeserializationContext;)Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;", "all", 20, 9, 4
"com/fasterxml/jackson/databind/introspect/MemberKey.<init>:(Ljava/lang/String;[Ljava/lang/Class;)V", "all", 20, 13, 3
"com/fasterxml/jackson/databind/deser/impl/NullsConstantProvider.isSkipper:(Lcom/fasterxml/jackson/databind/deser/NullValueProvider;)Z", "all", 20, 13, 3
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._getSetterInfo:(Lcom/fasterxml/jackson/databind/PropertyMetadata;Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;)Lcom/fasterxml/jackson/databind/PropertyMetadata;", "all", 20, 20, 1
"com/fasterxml/jackson/databind/deser/std/StdKeyDeserializers._constructCreatorKeyDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;)Lcom/fasterxml/jackson/databind/KeyDeserializer;", "all", 20, 5, 4
"com/fasterxml/jackson/databind/deser/std/StdDeserializer.<init>:(Lcom/fasterxml/jackson/databind/JavaType;)V", "all", 20, 6, 6
